x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,k
0.66580257,0.6674418,0.6687525,0.67105069,0.66613038,0.66711337,0.66908166,0.67072082,0.66809733,0.66547481,81.162623
0.66629804,0.66699681,0.66755573,0.66853454,0.66643776,0.66685698,0.66769569,0.66839445,0.6672763,0.66615826,190.635718
0.66619548,0.6670888,0.66780329,0.66905485,0.6663741,0.66691,0.66798232,0.66887562,0.6674461,0.66601679,149.078849
0.66609924,0.66717519,0.66803568,0.66954336,0.66631439,0.66695977,0.66825141,0.66932733,0.66760551,0.66588404,123.745112
0.66490404,0.66825244,0.67092807,0.67563002,0.66557384,0.66758005,0.67160352,0.67495163,0.66959102,0.6642351,39.643542
0.66490384,0.66825262,0.67092856,0.67563105,0.66557372,0.66758015,0.67160409,0.67495259,0.66959136,0.66423482,39.638959
0.66336571,0.66965143,0.67466865,0.68351964,0.6646237,0.66838428,0.67594661,0.68223131,0.67216275,0.66211181,21.035886
0.66626418,0.66702718,0.66763746,0.66870629,0.66641674,0.66687448,0.66779031,0.66855329,0.66733236,0.66611155,174.573468
0.66610137,0.66717328,0.66803054,0.66953256,0.6663157,0.66695867,0.66824546,0.66931734,0.66760199,0.66588698,124.211852
0.66618069,0.66710207,0.667839,0.6691299,0.66636493,0.66691764,0.66802366,0.66894501,0.66747059,0.6659964,144.53379
0.66170903,0.67117404,0.67871989,0.69208748,0.66360434,0.66925794,0.68066056,0.69012321,0.67495311,0.65982395,13.911054
0.66630495,0.66699061,0.66753905,0.66849949,0.66644205,0.66685341,0.66767639,0.66836204,0.66726487,0.66616779,194.282872
0.66624887,0.66704091,0.66767442,0.66878398,0.66640724,0.6668824,0.6678331,0.66862513,0.66735771,0.66609043,168.164102
0.66527659,0.66791576,0.67002521,0.67372878,0.66580446,0.66738628,0.67055659,0.67319558,0.66897096,0.66474915,50.344431
0.66509682,0.66807812,0.67046073,0.67464575,0.66569315,0.66747973,0.67106154,0.67404261,0.66927003,0.66450111,44.546744
0.66510726,0.66806869,0.67043543,0.67459247,0.66569961,0.6674743,0.67103221,0.67399341,0.66925266,0.66451551,44.846857
0.66563307,0.66759436,0.66916239,0.67191293,0.66602531,0.66720123,0.66955656,0.67151775,0.66837863,0.66524097,67.806026
0.6660268,0.66724024,0.66821065,0.66991121,0.66626944,0.66699726,0.66845403,0.66966744,0.66772554,0.66578412,109.703722
0.66590462,0.66735003,0.66850584,0.67053193,0.66619366,0.66706051,0.66879594,0.67024129,0.66792808,0.66561558,92.069554
0.66559413,0.66762943,0.6692566,0.67211115,0.66600117,0.66722143,0.66966573,0.67170094,0.6684433,0.66518725,65.333537
0.66611048,0.66716509,0.66800853,0.66948628,0.66632136,0.66695396,0.66821997,0.66927456,0.66758689,0.66589955,126.25205
0.66475361,0.66838862,0.67129296,0.67639876,0.66548078,0.6676584,0.6720268,0.67566147,0.6698417,0.66402752,36.503834
0.66559696,0.66762688,0.66924974,0.67209672,0.66600293,0.66721996,0.66965778,0.6716876,0.66843859,0.66519116,65.507483
0.66578577,0.66745692,0.66879313,0.67113614,0.66611996,0.66712208,0.66912873,0.67079981,0.66812521,0.66545162,79.60875
0.66594066,0.66731764,0.66841877,0.67034882,0.66621601,0.66704185,0.66869508,0.67007201,0.66786833,0.66566529,96.653297
0.66622534,0.66706202,0.66773122,0.66890336,0.66639263,0.66689456,0.66789886,0.66873553,0.66739666,0.66605798,159.183433
0.66520722,0.66797839,0.67019324,0.67408251,0.6657615,0.66742233,0.67075139,0.67352236,0.66908634,0.66465344,47.938019
0.66601495,0.66725088,0.66823926,0.66997137,0.6662621,0.66700339,0.66848717,0.66972306,0.66774518,0.66576778,107.704543
0.66609376,0.66718011,0.66804892,0.66957118,0.66631099,0.66696261,0.66826674,0.66935305,0.66761459,0.66587648,122.558768
0.66298392,0.67000083,0.67560014,0.6854875,0.66438843,0.66858491,0.67702954,0.68404517,0.67280386,0.66158468,18.825578
0.66610686,0.66716834,0.66801728,0.66950467,0.66631911,0.66695583,0.6682301,0.66929155,0.66759289,0.66589455,125.433522
